number,title,login,created_at,closed_at,is_pr
119,"fix method overwrite warning (replace #115, fix #113)",jrevels,2019-04-04T16:37:38.0,2019-06-29T18:47:22.0,true
118,adapt Cassette for https://github.com/JuliaLang/julia/pull/31191,vchuravy,2019-04-02T20:35:07.0,2019-04-03T12:41:14.0,true
117,UndefVarError: code_for_method not defined on Julia 1.2,dkarrasch,2019-04-02T18:53:30.0,2019-04-03T12:41:14.0,false
116,Intercept %new,dfdx,2019-03-31T21:27:31.0,,false
115,remove extra method definitions of overdub and recurse,vchuravy,2019-03-18T23:19:36.0,2019-04-04T17:43:39.0,true
114,adapt Cassette to https://github.com/JuliaLang/julia/pull/31015,vchuravy,2019-03-18T21:57:36.0,2019-03-18T22:50:34.0,true
113,Duplicate method definition.,vchuravy,2019-03-18T14:52:10.0,2019-11-20T17:02:51.0,false
112,Remove extra slotflag in overdub?,oxinabox,2019-03-14T00:09:56.0,2019-03-17T05:33:33.0,true
111,adding SSAValues to IRs that include nontrivial literals causes julia to fail,oxinabox,2019-03-13T01:41:34.0,2019-03-13T19:20:32.0,false
110,fix Core.kwfunc inference,jrevels,2019-02-21T21:55:58.0,2019-02-22T03:57:28.0,true
109,Transform and recompile function,dfdx,2019-02-16T22:05:59.0,2019-03-02T10:48:03.0,false
108,`@pure` seems to cause issues!,vchuravy,2019-02-07T23:17:27.0,2019-07-02T16:18:01.0,false
107,"Revert ""Declaring a pass twice should have no effect (#106)""",jrevels,2019-02-07T18:54:20.0,2019-02-07T23:19:08.0,true
106,Declaring a pass twice should have no effect,oxinabox,2019-02-02T18:32:07.0,2019-02-06T18:51:41.0,true
105,Loops,datnamer,2019-02-01T16:48:35.0,2020-04-20T13:45:56.0,false
104,fix posthook for Core._apply calls,jrevels,2019-01-25T16:36:16.0,2019-01-25T17:47:50.0,true
103,Show stacktrace for errors in passes,oxinabox,2019-01-25T00:10:30.0,2019-01-25T17:47:37.0,true
102,Avoid overlong lines in example,oxinabox,2019-01-23T20:23:42.0,,true
101,`posthook` mixes up `out` and `f` sometimes,pfitzseb,2019-01-22T15:07:54.0,2019-01-25T17:47:50.0,false
100,"Can we have a Cassette.refresh, like Zygote has?",oxinabox,2019-01-20T21:20:29.0,2020-04-20T13:44:29.0,false
99,tweak doc comment,jrevels,2019-01-08T16:26:13.0,2019-01-08T17:15:38.0,true
98,Large slowdown with map,zenna,2018-12-23T19:23:21.0,2018-12-24T00:02:02.0,false
97,"Refactor to reduce IR bloat for nested overdubbing, plus other stuff for Zygote",jrevels,2018-12-17T21:17:09.0,2018-12-19T15:44:15.0,true
96,Tracing Julia code execution via Cassette?,robertfeldt,2018-12-15T06:45:46.0,2020-04-20T13:46:09.0,false
95,fix _apply handling in slicing doc example,jrevels,2018-12-13T14:58:13.0,2018-12-13T15:24:24.0,true
94,Inference related failure,oxinabox,2018-12-11T01:35:22.0,,false
93,"Running compiler pass docs example gives a ""MethodError""",jpfairbanks,2018-12-09T23:31:29.0,2018-12-13T15:24:24.0,false
92,quick patch for better recursion limit spoofing,jrevels,2018-12-09T19:40:17.0,2018-12-10T16:24:37.0,true
91,no-op context overdubbing overhead,jrevels,2018-12-08T19:41:02.0,,false
90,add test for #73,jrevels,2018-12-08T14:41:11.0,2018-12-08T19:39:53.0,true
89,Overdub hates `reverse`...,oxinabox,2018-12-06T18:23:13.0,2019-07-13T09:21:52.0,false
88,Contexts can be declared twice without error,oxinabox,2018-12-06T15:05:34.0,2018-12-06T16:47:33.0,true
